"tool","indicatortype","value"
"manageengine servicedesk plus","domain",".manageengine.com"
"manageengine servicedesk plus","domain","manageengine.com"
"khelpdesk","domain",".khelpdesk.com.br"
"n-able remote access software","domain","n-able.com"
"parallels access","domain",".parallels.com"
"parallels access","domain","parallels.com/products/ras/try"
"royal server","domain","royalapps.com"
"fixme.it","domain",".fixme.it"
"fixme.it","domain",".techinline.net"
"fixme.it","domain","fixme.it"
"fixme.it","domain","set.me"
"fixme.it","domain","setme.net"
"spyanywhere","domain",".spytech-web.com"
"spyanywhere","domain","spyanywhere.com"
"netviewer","domain","download.cnet.com/net-viewer/3000-2370_4-10034828.html"
"connectwise control","domain","live.screenconnect.com"
"connectwise control","domain","control.connectwise.com"
"aeroadmin","domain","auth.aeroadmin.com"
"aeroadmin","domain","aeroadmin.com"
"remotepc","domain",".remotedesktop.com"
"remotepc","domain",".remotepc.com"
"remotepc","domain","www.remotepc.com"
"remotepc","domain","remotepc.com"
"comodo rmm","domain",".itsm-us1.comodo.com"
"comodo rmm","domain","mdmsupport.comodo.com"
"comodo rmm","domain","one.comodo.com"
"beyondtrust (bomgar)","domain",".beyondtrustcloud.com"
"beyondtrust (bomgar)","domain",".bomgarcloud.com"
"beyondtrust (bomgar)","domain","bomgarcloud.com"
"i'm intouch","domain",".01com.com"
"i'm intouch","domain","01com.com/imintouch-remote-pc-desktop"
"ericom accessnow","domain","ericom.com"
"sophos-remote management system","domain",".sophos.com"
"sophos-remote management system","domain",".sophosupd.com"
"sophos-remote management system","domain",".sophosupd.net"
"sophos-remote management system","domain","community.sophos.com/on-premise-endpoint/f/sophos-endpoint-software/5725/sophos-remote-management-system"
"iperius remote","domain",".iperiusremote.com"
"iperius remote","domain",".iperius.com"
"iperius remote","domain",".iperius-rs.com"
"iperius remote","domain","iperiusremote.com"
"xeox","domain",".xeox.com"
"xeox","domain","xeox.com"
"ultraviewer","domain",".ultraviewer.net"
"ultraviewer","domain","ultraviewer.net"
"splashtop (beta)","domain","splashtop.com"
"anyplace control","domain","anyplace-control.com"
"remoteutilities","domain","remoteutilities.com"
"pcvisit","domain",".pcvisit.de"
"pcvisit","domain","pcvisit.de"
"msp360","domain",".cloudberrylab.com"
"msp360","domain",".msp360.com"
"msp360","domain",".mspbackups.com"
"msp360","domain","msp360.com"
"panorama9","domain","trusted.panorama9.com"
"panorama9","domain","changes.panorama9.com"
"panorama9","domain","panorama9.com"
"domotz","domain",".domotz.co"
"domotz","domain","domotz.com"
"domotz","domain","cell-1.domotz.com"
"n-able advanced monitoring agent","domain","remote.management"
"n-able advanced monitoring agent","domain",".logicnow.com"
"n-able advanced monitoring agent","domain","systemmonitor.us"
"n-able advanced monitoring agent","domain","systemmonitor.eu.com"
"n-able advanced monitoring agent","domain","system-monitor.com"
"n-able advanced monitoring agent","domain","systemmonitor.us.cdn.cloudflare.net"
"n-able advanced monitoring agent","domain","cloudbackup.management"
"n-able advanced monitoring agent","domain","systemmonitor.co.uk"
"n-able advanced monitoring agent","domain",".n-able.com"
"n-able advanced monitoring agent","domain",".beanywhere.com "
"n-able advanced monitoring agent","domain",".swi-tc.com"
"rapid7","domain",".analytics.insight.rapid7.com"
"rapid7","domain",".endpoint.ingress.rapid7.com"
"gotoassist","domain","goto.com"
"gotoassist","domain",".getgo.com"
"gotoassist","domain",".fastsupport.com"
"gotoassist","domain",".gotoassist.com"
"gotoassist","domain","helpme.net"
"gotoassist","domain",".gotoassist.me"
"gotoassist","domain",".gotoassist.at"
"gotoassist","domain",".desktopstreaming.com"
"gotoassist","domain",".cdn.getgo.com"
"beinsync","domain",".beinsync.net"
"beinsync","domain",".beinsync.com"
"logmein rescue","domain",".logmeinrescue.com"
"logmein rescue","domain",".logmeinrescue.eu"
"logmein rescue","domain","logmeinrescue.com"
"logmein rescue","domain","rescue-list..logmein-gateway.com"
"logmein rescue","domain","rescue-data-cetner.logmein-gateway.com"
"baramundi management suite","process","bma.exe"
"baramundi management suite","domain",".baramundi.com"
"baramundi management suite","domain","www.baramundi.com"
"baramundi management suite","domain","docs.baramundi.com"
"baramundi management suite","domain","isodownload.baramundi.com"
"webrdp","domain","github.com/mikej81/webrdp"
"seetrol","domain","seetrol.co.kr"
"pandora rc (ehorus)","domain","portal.ehorus.com"
"remotecall","domain",".remotecall.com"
"remotecall","domain",".startsupport.com"
"remotecall","domain","remotecall.com"
"helpbeam","domain","helpbeam.software.informer.com"
"auvik","domain",".my.auvik.com"
"auvik","domain",".auvik.com"
"auvik","domain","auvik.com"
"zerotier","domain","zerotier.com"
